course_code,title,terms_offered,credits,terms_credits_raw,offering_notes,signature_program,signature_program_required,section_blurb,full_description,bleed_removed
BI410AD,CURRENT TOPICS IN BIOLOGY,"Winter, Spring terms",1,"Winter, Spring terms; 1 course credit",,,False,,"Newspapers, news reports, weekly magazines, best-selling books, and hit movies increasingly address current issues in biology: the ethics of genetics research; advances in reproductive technology; the controversy surrounding global warming; increasing bacterial resistance to antibiotics; the many uses and manipulations of DNA; HIV and AIDS incidence and research; the emergence of new diseases; and human impact on the environment, to name a few. This course draws on the current literature to study some of these important and interesting topics. The course stresses both individual and group work, with each student responsible for two significant projects during the term. Open to fifth and sixth formers who have completed or are currently enrolled in biology. This course fulfills the requirement in contemporary global studies.",
BI420HO,"BIOLOGY, HONORS",Fall and Winter terms,2,Fall and Winter terms; 2 course credits,,KEC Environmental Immersion Program (EIP),True,,"This introductory course explores fundamental topics of biology, including basic biochemistry, cell structure and function, genetics, organ systems, and evolution. The course uses key concepts from ecology and evolution as unifying themes for the topics that are covered. Emphasis is placed on tracing the flow of energy through biological systems as well as the ability of organisms to respond to their environment. Students conduct inquiry-based labs and greenhouse experiments while learning scientific approaches to studying the biological world. When taken concurrently with Ecology (ES437HO), this course fulfills the diploma requirement in Biology.",
BI450HO,"BIOLOGY, HONORS",Year,3,Year; 3 course credits,,,False,,"Designed for students with demonstrated interest and ability in science, this first-year course presents topics of basic biochemistry, cell structure and function, comparative anatomy and physiology, genetics, and ecology. The subject matter is presented within the context of modern evolutionary theory and human interaction with the environment. Students consider the foundations of biology and related current applications of the science. Open to fifth and sixth formers who have completed physics, chemistry, and have the permission of the department. Note: BI450HO is not open to students who have completed a year of high school biology at another high school.",
BI465AD,VERTEBRATE EVOLUTION,Spring term,1,Spring term; 1 course credit,,,False,,"This course explores the biology of the major groups of vertebrates — fishes, amphibians, reptiles, birds, and mammals — through an evolutionary lens. Topics to be studied include vertebrate anatomy, physiology, and development, as well as natural selection and adaptation, phylogenetics, and ecology. Laboratory work focuses on anatomical studies of specimens, and a field component introduces students to the vertebrates on campus through observation of animals in the wild. Open to students who have completed or are currently enrolled in biology.",
BI570HO,"HUMAN ANATOMY AND PHYSIOLOGY, HONORS",Fall and Winter terms,2,Fall and Winter terms; 2 course credits,,,False,,"This two-term course begins with a microscopic study of tissues and then explores the structure and function of several of the major systems of the human body. Required laboratory work includes hands-on dissection of several organs and culminates in a system-study of the cat. Readings and discussion of current scientific literature, especially in the areas of health and disease, are an integral part of the course. This course continues with an optional third term in the spring (BI575HO). Open to fifth and sixth formers who have completed one year of biology.",
BI575HO,"ADVANCED TOPICS IN ANATOMY AND PHYSIOLOGY, HONORS",Spring term,1,Spring term; 1 course credit,,,False,,"This one-term course is a continuation of the study of human anatomy and physiology begun in BI570HO. Students move into more complex topics such as immunity and the body’s defensive systems, human reproduction, embryology, growth, and development. In addition to a body systems study, students will look further into diseases and modern treatments. Open to students who have completed Anatomy and Physiology or who have the permission of the department.",
BI581HO,"CELL AND MOLECULAR BIOLOGY, HONORS",Winter and Spring terms,2,Winter and Spring terms; 2 course credits,,,False,,"The bedrock of disciplines ranging from medicine to bioengineering, modern molecular biology is the study of how genes in a cell guide the production of biomolecules needed for life. In this intensive course, students explore how molecular biology can be harnessed to understand the nature of disease, produce targeted therapies, and engineer new biotechnologies. Students gain hands on experience in modern experimental techniques including DNA and protein analysis. They also apply their knowledge of molecular biology to reading primary scientific literature. Open to fifth and sixth formers who have completed one year of biology.",
BI590HO,"GENETICS, HONORS",Spring term,1,Spring term; 1 course credit,,,False,,"The discovery that DNA is the blueprint for life was one of the great scientific advancements of the 20th century. Since then, improvements in DNA sequencing and analysis have revolutionized the field of genetics and opened the door to advances in both science and medicine. This course explores advances in genomic research, as well as the personal and societal risks that come with whole genome sequencing and genetic engineering. Additionally, students explore the interplay of genes and environment through non-Mendelian modes of inheritance. This course uses laboratory, seminar, and project- based methods. Open to fifth and sixth formers who have completed one year of biology.",
CH300,CHEMISTRY,Year,3,Year; 3 course credits,,,False,,"This introductory course in inorganic chemistry explores fundamental principles of the discipline, including atomic theory, periodic law, chemical bonding, acid-base behavior, chemical equilibrium, and thermochemistry. Laboratory experiments reinforce what students learn in the classroom and demonstrate principles of the scientific method and laboratory experimentation. Contemporary techniques for gathering and analyzing data are stressed as a means of obtaining evidence and verifying its reliability. By searching for regularities and patterns observed in the laboratory, students explore the behavior of many substances common to everyday life. Open to fourth, fifth, and sixth formers who have completed Algebra I.",
CH350HO,"CHEMISTRY, HONORS",Year,3,Year; 3 course credits,,,False,,"For students with a keen interest in science and with strong quantitative ability, this first-year course explores the principles of inorganic chemistry, including atomic theory, periodic law, stoichiometry, thermochemistry, chemical bonding, kinetics, reaction equilibria, acid-base behavior, and electrochemistry. Students are also involved in an intensive laboratory curriculum. Through experiments and lab-based projects students acquire extensive experience with collecting and analyzing experimental data. Students also learn to present their findings in written lab reports and hone their scientific writing skills. Open to fourth, fifth, and sixth formers who have completed one year of physics and have the permission of the department.",
CH440AD,CHEMISTRY OF FOOD,Fall term,1,Fall term; 1 course credit,,,False,,"Have you ever wondered why chili peppers burn your tongue or what the difference is between saturated and unsaturated fats? What happens when bread rises, when eggs cook, or when a banana ripens? All of these involve structural chemical changes or chemical reactions. Students who enjoyed chemistry the first time around will benefit from the chance to explore these real applications of chemistry that are important everyday phenomena. In this course students study the components of food, explore commercial and home processing of food, and learn how food is transformed by various cooking techniques. Readings, tastings, and lab activities will be used to enhance student understanding. Open to students who have completed one year of chemistry.",
CH550HO,"ADVANCED CHEMISTRY, HONORS",Year,3,Year; 3 course credits,,,False,,"This year-long rigorous study of chemistry digs deeper into topics covered in a first-year chemistry course including: atomic theory, bonding, reactions, stoichiometry, equilibrium, thermodynamics, and kinetics. Many applications of chemistry are explored, with a goal of deepening understanding of core ideas in general chemistry. Extensive lab work is required, including several inquiry-based exercises. Students develop the ability to work collaboratively in the lab by designing and conducting several project-length experiments. Open to students who have completed one year of chemistry (CH300/CH350HO or its equivalent), have completed Algebra II, and have the permission of the department.",
CH651HO,"ADVANCED INORGANIC CHEMISTRY, HONORS",Fall term,1,Fall term; 1 course credit,,,False,,"This laboratory-intensive course provides a thorough study of advanced stoichiometry and equilibrium systems. Students spend several weeks synthesizing and analyzing a coordination compound. Topics, including solubility and complex ion equilibria, redox chemistry, electronic structure, and thermodynamics, are studied within the context of transition metal chemistry. Open to students who have completed one year of chemistry (CH300/CH350HO or equivalent), have completed Algebra II, have strong analytical skills (quantitative and reasoning), and have the permission of the department.",
CH652HO,"ADVANCED ORGANIC CHEMISTRY, HONORS",Winter term,1,Winter term; 1 course credit,,,False,,"A study of the molecular structure and behavior of carbon compounds, this laboratory course explores the basic molecular patterns of the large organic molecules which are critical to life on earth. Molecular bonding and structure are examined with an eye towards understanding the physical and chemical properties of organic molecules. Kinetics and synthetic pathways of elementary organic reactions are examined in and out of the laboratory. Extensive experimental work is an integral part of the course. Projects may include the isolation of orange oil or the synthesis of a soap from nutmeg. This course is the second term of the two-term Advanced Topics in Chemistry sequence; however, it may also be taken by an interested student as a stand-alone course. Open to students who have completed one year of chemistry (CH300/CH350HO or equivalent), have completed Algebra II, have strong analytical skills (quantitative and reasoning), and have the permission of the department.",
CN100,FIRST YEAR CHINESE,Year,3,Year; 3 course credits,,,False,,"In this introductory course, students learn Mandarin Chinese sound and writing systems, while acquiring basic skills in listening, speaking, reading, and writing. Exploration into Chinese history and culture is theme-based and complements the language portion of the course throughout the year. Students develop the ability to engage in dialogues, as well as read and write short paragraphs on related themes. Open to students with no previous background in Chinese.",
CN125,ELEMENTARY CHINESE,Year,3,Year; 3 course credits,,,False,,"This course is for students with some prior exposure to Chinese. Its curriculum and methodology are similar to that of CN100; however, the development of basic skills is at a considerably more accelerated pace, and cultural topics are studied in greater depth. Open to students with the permission of the department.",
CN200,SECOND YEAR CHINESE,Year,3,Year; 3 course credits,,,False,,"In this year-long course, students expand their inventory of Chinese words and phrases relevant to daily life. Students also acquire a deeper understanding of fundamental grammar concepts, allowing them to read and write short passages on familiar and personal topics. Units on Chinese history and culture help students develop a broader insight into the region and an appreciation for their study of the language. Open to students who have completed the 100 level or its equivalent.",
CN250HO,"SECOND YEAR CHINESE, HONORS",Year,3,Year; 3 course credits,,,False,,"This course moves at a fast pace and students are expected to prepare thoroughly and review independently outside of class. By continuing to work on Chinese grammar and vocabulary, students build oral and written proficiency in topics related to daily life. Units on Chinese culture, as well as supplementary audio and video materials, help students develop a broader insight into the region and an appreciation for their study of the language. Open to students who have distinguished themselves at the 100 level or its equivalent and have the permission of the department.",
CN300,THIRD YEAR CHINESE,Year,3,Year; 3 course credits,,,False,,"While students continue practicing the three modes of communication — interpretive, interpersonal, and presentational — the emphasis of this course is on developing their proficiency in communicating orally and in writing. Using the backdrop of real-life situations, students demonstrate their understanding of advanced grammatical structures, which they use to create increasingly more complex sentences. The themes of home, school, and communities underpin this language course. Open to students who have completed the 200 level or its equivalent.",
CN350HO,"THIRD YEAR CHINESE, HONORS",Year,3,Year; 3 course credits,,,False,,"Students continue to develop and refine their proficiency in the three modes of communication — interpretive, interpersonal, and presentational — with an emphasis on developing greater fluency in speaking and in writing. Students learn to apply more complex language structures to a variety of topics and develop the ability to move from concrete to abstract concepts. At this level, students comprehend the main ideas of authentic materials that they read and hear, while also identifying salient details. Students gain a deeper understanding of the world around them, using social issues to further their Chinese studies. Open to students who have distinguished themselves at the 200 level or its equivalent and have the permission of the department. FOURTH YEAR CHINESE In this advanced sequence, students continue to develop their interpersonal, interpretive, and presentational language skills through frequent interaction with authentic materials in various styles and genres, as well as through meaningful application of the target language. Students cultivate their critical thinking skills and problem-solving skills as they advance their ability to communicate about topics involving historical, geographic, and cultural knowledge. These courses may be taken as a year-long sequence or individually as term electives. They are not required to be taken in sequential order.",
CN401AD,CHINESE FESTIVALS AND TOURISM,Fall term,1,Fall term; 1 course credit,,,False,,"In this course, students explore Chinese festivals such as the Spring and Moon Festivals, and legends behind them. They also learn about the diverse geography of China and Chinese- speaking countries and regions, before considering the way it impacts tourism. While students expand their knowledge about China geographically and culturally, they further improve their competency interacting in the target language. Open to students who have completed the 300 level or its equivalent.",
CN402AD,INFLUENTIAL PEOPLE AND THE IMPACT OF TECHNOLOGY,Winter term,1,Winter term; 1 course credit,,,False,,"In this course, students delve into the lives of influential Chinese people from various backgrounds and their contributions to the world, before writing their own imagined life story. The focus of the course then shifts to examine the impact that the internet as brought to life in China and beyond, as well as the benefits of the most recent technological inventions. Open to students who have completed the 300 level or its equivalent.",
CN403AD,ENVIRONMENTAL ISSUES FACING CHINA TODAY,Spring term,1,Spring term; 1 course credit,,,False,,"In this course, students examine China’s environmental issues in a variety of contexts, focusing on the challenges and opportunities that China faces in protecting endangered animals and improving the living environment. Students discuss these topics through the lens of the United Nations Sustainable Development Goals. Open to students who have completed the 300 level or its equivalent. FOURTH YEAR CHINESE, HONORS In this honors level sequence, students explore three major themes: Chinese history, geography, and economic, social, and environmental development. Authentic materials such as stories, movies, poems, documentaries, TV series, and songs are used to help students expand their vocabulary and develop language skills in the three different modes of communication (interpretive, interpersonal, and presentation). Students continue to improve their language proficiency while enhancing their understanding of China today. Intensive reading, online research, class discussion, personal essays, and collaborative projects are frequently used to assess students’ learning and progress. These courses may be taken as a year-long sequence or individually as term electives. They are not required to be taken in sequential order.",
CN451HO,"THE LEGEND AND THE HISTORY, HONORS",Fall term,1,Fall term; 1 course credit,,,False,,"In this course, students learn about and discuss Chinese legends and festivals, important dynasties, historical events, and the impact of ancient Chinese inventions and inventors in the world. Open to students who have distinguished themselves at the 300 level or its equivalent and have the permission of the department.",
CN452HO,"VOYAGE IN AND BEYOND CHINA, HONORS",Winter term,1,Winter term; 1 course credit,,,False,,"In this course, students explore China’s geographic features, different ethnic groups and their cultures, Chinese speaking countries and religions in the world, and the life and contributions of overseas Chinese. Open to students who have distinguished themselves at the 300 level or its equivalent and have the permission of the department.",
CN453HO,"CHALLENGES OF THE 21ST CENTURY IN CHINA AND THE WORLD, HONORS",Spring term,1,Spring term; 1 course credit,,,False,,"This course discusses the characteristics of China’s new economy, influential Chinese entrepreneurs, and China’s efforts to address environmental issues and challenges. Open to students who have distinguished themselves at the 300 level or its equivalent and have the permission of the department. SUSTAINABLE FUTURES: UN SDG EXPLORATION IN CHINA AND THE WORLD Our three-term course series is rooted in the United Nations’ Sustainable Development Goals. Designed to address global challenges in China and globally, each term focuses on distinct aspects of sustainability. These courses may be taken as a year- long sequence or individually as term electives. They are not required to be taken in sequential order.",
CN511AD,SUSTAINABLE AND INCLUSIVE GROWTH IN CHINA,Fall term,1,Fall term; 1 course credit,,,False,,This course explores China’s remarkable journey toward sustainable and inclusive growth. Open to students who have completed the 400 level or its equivalent.,
CN512AD,URBANIZATION: IMAGINING FUTURE CITIES,Winter term,1,Winter term; 1 course credit,,,False,,"This course focuses on urbanization, emphasizing China and modernity and imagining future cities. It covers new trends in labor immigration, the rise of online shopping and e-commerce, and the changing lifestyles and consumption of Generation Z. Classes emphasize communication using oral presentations, debates, and discussions. Written essays and projects are pivotal in cultivating a rich lexicon and refining the ability to communicate with heightened precision in Chinese. Open to students who have completed the 400 level or its equivalent.",
CN513AD,CLIMATE ACTION: PATHWAY TO NET ZERO,Spring term,1,Spring term; 1 course credit,,,False,,"This course is designed to delve deep into the pressing issue of climate change and the pathway to achieving a net-zero carbon footprint in China and worldwide. Students will explore the study of climate issues, their environmental and socio-economic impacts, and the urgent need for collective action. Language assignments within the course aim to enhance proficiency in reading authentic materials, composing articulate essays, and delivering insightful presentations. Open to students who have completed the 400 level or its equivalent. ADVANCED CHINESE CULTURE AND SOCIETY, HONORS This sequence of courses is an in-depth study of Chinese culture and current social issues in contemporary China. Each course is taught exclusively in Chinese, providing students with daily opportunities to develop proficiency in all communicative modes, via maximum exposure to authentic culture and language. These courses may be taken as a year-long sequence or individually as term electives. They are not required to be taken in sequential order. Each course fulfills the requirement in contemporary global studies.",
CN551HO,"MODERN LIVES IN CHINA: FAMILY, COMMUNITY, AND ECONOMIC DEVELOPMENT, HONORS",Fall term,1,Fall term; 1 course credit,,,False,,"This course explores how contemporary social and economic shifts are reshaping family life and community structures in China. Through authentic reading, case studies, and discussion- based activities, students examine evolving patterns of marriage, family formation, demographic change, and the social implications of economic development. Emphasis is placed on understanding how personal relationships and local communities respond to broader national trends. Students strengthen advanced linguistic proficiency while analyzing the cultural and social dimensions of modern life in China. Open to students who have completed the CN451HO-CN453HO sequence or the CN511AD-CN513AD sequence and have permission of the department.",
CN552HO,"SOCIAL CHANGES IN CONTEMPORARY CHINA, HONORS",Winter term,1,Winter term; 1 course credit,,,False,,"This course investigates the major forces driving social transformation in China today. Students engage with topics such as urbanization, labor migration, rural-urban inequalities, youth pressures, educational opportunity, and housing challenges, using authentic media and scholarly perspectives. The course emphasizes how structural shifts – economic, demographic, and policy-driven – shape peoples’ lived experiences across different regions and social groups. Students continue advancing their language skills while developing analytical insight into the complexities of a rapidly changing society. Open to students who have completed the CN451HO-CN453HO sequence or the CN511AD-CN513AD sequence and have the permission of the department.",
CN553HO,"MEDIA AND IDENTITY IN CHINA’S DIGITAL ERA, HONORS",Spring term,1,Spring term; 1 course credit,,,False,,"This course examines how digital media is redefining cultural expression and social identity in China’s fast-changing digital landscape. Drawing on films, literature, online media, and multimodal texts, students explore platform culture, youth subcultures, self-presentation, media representation, and the social impact of emerging technologies. The course highlights the ways individuals and groups negotiate identity, meaning, and belonging in response to digital transformation. Students further refine their advanced language proficiency while analyzing the cultural, social, and ethical questions of China’s digital era. Open to students who have completed the CN451HO-CN453HO sequence or the CN511AD-CN513AD sequence and have the permission of the department. SPECIAL TOPICS IN CHINESE Beyond our fifth-year courses, this sequence of honors courses allows students to discuss contemporary issues faced in China. Students are immersed in a Chinese-language environment and should be prepared to discuss these issues in Chinese. Written assignments, oral discussions, debates, and projects are frequent and are important components. These courses may be taken as a year-long sequence or individually as term electives. They are not required to be taken in sequential order.",
CN651HO,"CONTEMPORARY ISSUES IN CHINA, HONORS",Fall term,1,Fall term; 1 course credit,,,False,,"This course focuses on current affairs and social issues in contemporary China using multimedia materials ranging from the internet, television, to films. Students explore issues that include China’s economy, rural and urban development, innovation, sustainability, gender equality, and education. Open to students who have distinguished themselves at the 500 level or its equivalent and have the permission of the department.",
CN652HO,"STEMM RELATED TOPICS IN CHINA’S MODERNIZATION, HONORS",Winter term,1,Winter term; 1 course credit,,,False,,"STEMM (Science, Technology, Engineering, Mathematics, and Medicine) enables us to address global concerns in an increasingly interconnected world. This course examines scientific advancement and China’s modernization since the 19th century to the present. Students will be introduced to the development and impact of cutting-edge technologies such as artificial intelligence, driverless cars, drones, quantum computers, aerospace engineering, gene editing, and vaccine research. Open to students who have distinguished themselves at the 500 level or its equivalent and have the permission of the department.",
CN653HO,"SOCIAL JUSTICE ISSUES IN CHINA, HONORS",Spring term,1,Spring term; 1 course credit,,,False,,"This course is designed to examine major issues of social justice in China, such as religious freedom in Xinjiang, dissidents and human rights, disparities between rural and urban areas, media and censorship, gender equality and the Chinese response to the current anti-racism movement in the U.S. Reading and writing are routine tasks, and oral discussion and debates are important components of the course. Open to students who have distinguished themselves at the 500 level or its equivalent and have the permission of the department.",
CS200,PROGRAMMING INTRODUCTION TO PROGRAMMING,All terms,1,All terms; 1 course credit,,,False,,"Students learn the basics of algorithmic thinking, and design programs to solve simple problems. p5.js (a java script library) is used from the onset of class. Students learn the basics of variables, loops, conditional statements, and standard data structures such as arrays and dictionaries. Ultimately, the goal is for students to be able to use computation to achieve interdisciplinary personal goals. Open to all new programmers. Note: Students who have programming experience are encouraged to reach out to the department head to see if another CS course is more appropriate.","COMPUTER SCIENCE, HONORS Fall and Winter terms; Winter and Spring terms; 2 course credits CS550HO; CS551HO This two-term course introduces students to the principles of computer science, particularly algorithm and program design. Using the Python language, students work in an object-oriented paradigm as they study such traditional topics as conditional statements, loop structures, methods, arrays, recursion, and introductory graphics. Efficient, elegant design is emphasized throughout. Additionally, students learn to use inheritance, interfaces, and polymorphism as they design more complex programs. Following a study of simulations, fermi problems, and GUI, the course concludes with each student designing and completing a major programming project. Open to students who have completed CS200 or CS300, or who have approved equivalent background experience and are at least concurrently enrolled in Precalculus, or who have the permission of the department."
CS300,ROBOTICS INTRODUCTION TO ROBOTICS,"Fall, Spring terms",1,"Fall, Spring terms; 1 course credit",,,False,,"This course introduces students to the fundamentals of robotics using the VEX platform. Students learn to design and build robots, to program autonomous behaviors, and to use sensors to improve their robots’ abilities to interact with their environment. This course serves as an introduction to aspects of computer programming in Python and covers such fundamental topics as program design and control, looping, and Boolean logic. Prior programming experience is not necessary. Open to all students. Note: This course serves as the primary prerequisite for the ARC program.",
CS310,ROBOTICS II,Spring term,1,Spring term; 1 course credit,,,False,,"This course in robotics builds on the fundamentals introduced in CS300, but students are expected to complete more advanced projects with greater autonomy. The design development process is further explored, and the use of Computer Aided Design (CAD) software is introduced as a method of virtual modeling. Students learn to use more complex programming structures incorporating inertial and/or vision sensor inputs. Open to students who have completed CS300 or who have the permission of the department.",
CS450HO,"ROBOTICS DESIGN AND FABRICATION, HONORS",Fall term,1,Fall term; 1 course credit,,,False,,"This course teaches students core principles in robotic design and fabrication. Students will learn CAD (computer aided design), CNC (computer numerical control), manufacturing, prototyping, mechanical assembly, and core mechanical engineering design principles via completion of a term-long project. Open to students who are in ARC or, as space is available, to students who have completed CS300 or CS310 or who have the permission of the department.",
CS557HO,"ADVANCED PROJECTS IN COMPUTER SCIENCE, HONORS","Fall, Winter terms",1,"Fall, Winter terms; 1 course credit",,,False,,"Students will pursue technical mastery and personal development through an individual programming project of their choosing, designed to push the boundaries of their current coding skills. Students will embark on a journey to design and advance their projects while picking up new skills, techniques, and approaches. This course is about more than just coding – it’s about learning through trial, error, and persistence. Students will research independently, brainstorm and collaborate with their classmates, plan and steadily work toward their long-term goal, experiencing firsthand the ups and downs of tackling something truly challenging. Through reflection, peer feedback, and discussion, students will explore how learning unfolds when success isn’t guaranteed and how setbacks can fuel growth and creativity. A student’s progress won’t be determined by whether they complete their project perfectly, but rather progress will be assessed based on how well the student documents their journey, the honesty and depth of their personal reflection, and most importantly, their ability to demonstrate resilience – how they respond to challenges with persistence, adaptability, and a growth mindset. Alongside hands-on work, students will dive into stories of innovators, dreamers, and leaders who embraced setbacks as a powerful tool on their paths to success. Open to students who have completed CS550HO/CS551HO or have permission of the department. Note: With permission of the department, students make take CS557HO more than once for credit.",
